1510682340 - 1510682355,28
1510682355 - 1510682370,62
1510682370 - 1510682385,65
1510682385 - 1510682400,75
1510682400 - 1510682415,76
1510682415 - 1510682430,76
1510682430 - 1510682445,71
1510682445 - 1510682460,71
1510682460 - 1510682475,66
1510682475 - 1510682490,74
1510682490 - 1510682505,65
1510682505 - 1510682520,68
1510682520 - 1510682535,63
1510682535 - 1510682550,57
1510682550 - 1510682565,67
1510682565 - 1510682580,62
1510682580 - 1510682595,70
1510682595 - 1510682610,73
1510682610 - 1510682625,68
1510682625 - 1510682640,71
1510682640 - 1510682655,69
1510682655 - 1510682670,72
1510682670 - 1510682685,59
1510682685 - 1510682700,72
1510682700 - 1510682715,69
1510682715 - 1510682730,64
1510682730 - 1510682745,66
1510682745 - 1510682760,70
1510682760 - 1510682775,66
1510682775 - 1510682790,67
1510682790 - 1510682805,68
1510682805 - 1510682820,68
1510682820 - 1510682835,63
1510682835 - 1510682850,63
1510682850 - 1510682865,72
1510682865 - 1510682880,79
1510682880 - 1510682895,66
1510682895 - 1510682910,68
1510682910 - 1510682925,72
1510682925 - 1510682940,69
1510682940 - 1510682955,83
1510682955 - 1510682970,70
1510682970 - 1510682985,71
1510682985 - 1510683000,73
1510683000 - 1510683015,78
1510683015 - 1510683030,72
1510683030 - 1510683045,86
1510683045 - 1510683060,82
1510683060 - 1510683075,85
1510683075 - 1510683090,73
1510683090 - 1510683105,74
1510683105 - 1510683120,74
1510683120 - 1510683135,67
1510683135 - 1510683150,70
1510683150 - 1510683165,70
1510683165 - 1510683180,68
1510683180 - 1510683195,65
1510683195 - 1510683210,64
1510683210 - 1510683225,73
